California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201301,42.1,-0.2
201302,45.3,0.0
201303,53.8,5.0
201304,58.2,4.2
201305,63.8,3.1
201306,72.4,4.2
201307,78.0,3.3
201308,74.4,0.7
201309,69.3,0.8
201310,58.5,-1.0
201311,51.9,2.4
201312,44.1,1.0
201401,50.1,7.8
201402,49.8,4.5
201403,53.5,4.7
201404,57.7,3.7
201405,64.6,3.9
201406,71.9,3.7
201407,78.4,3.7
201408,74.9,1.2
201409,72.2,3.7
201410,64.4,4.9
201411,53.1,3.6
201412,46.8,3.7
201501,48.6,6.3
201502,53.2,7.9
201503,56.9,8.1
201504,56.7,2.7
201505,60.8,0.1
201506,74.4,6.2
201507,75.0,0.3
201508,76.5,2.8
201509,72.1,3.6
201510,65.0,5.5
201511,47.6,-1.9
201512,42.3,-0.8
201601,44.5,2.2
201602,51.8,6.5
201603,52.5,3.7
201604,57.9,3.9
201605,62.2,1.5
201606,73.5,5.3
201607,76.8,2.1
201608,76.2,2.5
201609,69.5,1.0
201610,60.5,1.0
201611,52.8,3.3
201612,43.4,0.3
201701,42.1,-0.2
201702,47.3,2.0
201703,53.4,4.6
201704,55.6,1.6
201705,63.4,2.7
201706,72.8,4.6
201707,78.8,4.1
201708,77.8,4.1
201709,69.8,1.3
201710,62.0,2.5
201711,53.4,3.9
201712,47.6,4.5
201801,48.9,6.6
201802,46.6,1.3
201803,48.7,-0.1
